Concurso,Cargo,Grupo,Conhecimento,Erro,Media_Tecnica,Media_Aleatoria,Ganho_Medio,Eficiencia_Media
AL_CE_20,Cargo 1,MULTIPLA_5,0.7,0.2,36.518,35.59999999999934,0.9180000000006621,0.2510000000000001
AL_CE_20,Cargo 1,MULTIPLA_5,0.8,0.05,46.533,45.40000000000084,1.1329999999991633,0.2944166666666668
AL_CE_20,Cargo 1,MULTIPLA_5,0.8,0.1,44.319,43.40000000000081,0.9189999999991924,0.2765833333333335
AL_CE_20,Cargo 1,MULTIPLA_5,0.8,0.2,39.077,38.40000000000072,0.6769999999992797,0.2564166666666664
AL_CE_20,Cargo 1,MULTIPLA_5,0.9,0.05,50.873,50.19999999999932,0.6730000000006766,0.31216666666666665
AL_CE_20,Cargo 1,MULTIPLA_5,0.9,0.1,47.749,47.19999999999947,0.5490000000005312,0.2915000000000001
AL_CE_20,Cargo 1,MULTIPLA_5,0.9,0.2,42.578,42.19999999999975,0.37800000000025463,0.26300000000000007
AL_CE_20,Cargo 2,MULTIPLA_5,0.5,0.05,22.474,23.0,-0.526,0.17369999999999977
AL_CE_20,Cargo 2,MULTIPLA_5,0.5,0.1,21.688,22.0,-0.312,0.18439999999999981
AL_CE_20,Cargo 2,MULTIPLA_5,0.5,0.2,19.72,20.0,-0.28,0.18600000000000036
AL_CE_20,Cargo 2,MULTIPLA_5,0.6,0.05,25.71,26.200000000000458,-0.4900000000004584,0.169375
AL_CE_20,Cargo 2,MULTIPLA_5,0.6,0.1,24.744,25.200000000000447,-0.4560000000004475,0.1715
AL_CE_20,Cargo 2,MULTIPLA_5,0.6,0.2,22.889,23.200000000000426,-0.31100000000042566,0.1805625
AL_CE_20,Cargo 2,MULTIPLA_5,0.7,0.05,28.849,29.400000000000503,-0.5510000000005021,0.1540833333333332
AL_CE_20,Cargo 2,MULTIPLA_5,0.7,0.1,27.942,28.400000000000468,-0.4580000000004693,0.16183333333333327
AL_CE_20,Cargo 2,MULTIPLA_5,0.7,0.2,25.082,25.40000000000035,-0.3180000000003492,0.17349999999999977
AL_CE_20,Cargo 2,MULTIPLA_5,0.8,0.05,32.147,32.599999999999405,-0.4529999999994034,0.143375
AL_CE_20,Cargo 2,MULTIPLA_5,0.8,0.1,30.256,30.59999999999946,-0.34399999999946157,0.157
