Grupo,Conhecimento_Pct,Erro_Pct,Nota_Media_Final,Ganho_Medio
CERTO_ERRADO,0.5,0.05,19.838,1.838
CERTO_ERRADO,0.5,0.05,20.024,2.024
CERTO_ERRADO,0.5,0.05,17.998,-0.002
CERTO_ERRADO,0.5,0.05,19.052,1.052
CERTO_ERRADO,0.5,0.05,20.034,2.034
CERTO_ERRADO,0.5,0.05,20.054,2.054
CERTO_ERRADO,0.5,0.05,19.848,1.848
CERTO_ERRADO,0.5,0.05,19.664,1.664
CERTO_ERRADO,0.5,0.05,19.892,1.892
CERTO_ERRADO,0.5,0.05,21.416,2.416
CERTO_ERRADO,0.5,0.05,34.882,2.882
CERTO_ERRADO,0.5,0.05,64.73,3.73
CERTO_ERRADO,0.5,0.05,74.944,-10.056
MULTIPLA_4,0.5,0.05,23.525,4.525
MULTIPLA_5,0.5,0.05,47.113,9.113
MULTIPLA_5,0.5,0.05,46.936,8.936
MULTIPLA_5,0.5,0.05,33.793,5.793
MULTIPLA_5,0.5,0.05,33.212,5.212
MULTIPLA_5,0.5,0.05,35.806,6.806
MULTIPLA_5,0.5,0.05,33.675,5.675
MULTIPLA_5,0.5,0.05,54.92,9.92
MULTIPLA_5,0.5,0.05,19.25,4.25
MULTIPLA_5,0.5,0.05,18.554,3.554
MULTIPLA_5,0.5,0.05,17.401,3.401
MULTIPLA_5,0.5,0.05,17.837,3.837
MULTIPLA_5,0.5,0.05,18.893,3.893
MULTIPLA_5,0.5,0.05,19.274,4.274
MULTIPLA_5,0.5,0.05,17.092,3.092
MULTIPLA_5,0.5,0.05,18.564,3.564
MULTIPLA_5,0.5,0.05,18.397,3.397
MULTIPLA_5,0.5,0.05,17.875,3.875
MULTIPLA_5,0.5,0.05,18.28,3.28
MULTIPLA_5,0.5,0.05,18.27,3.27
MULTIPLA_5,0.5,0.05,17.674,3.674
MULTIPLA_5,0.5,0.05,17.512,3.512
MULTIPLA_5,0.5,0.05,17.946,3.946
MULTIPLA_5,0.5,0.05,17.844,3.844
MULTIPLA_5,0.5,0.05,17.964,2.964
MULTIPLA_5,0.5,0.05,18.623,3.623
MULTIPLA_5,0.5,0.05,18.169,4.169
MULTIPLA_5,0.5,0.05,29.226,6.226
CERTO_ERRADO,0.5,0.05,52.298,-1.702
CERTO_ERRADO,0.5,0.05,45.276,0.276
CERTO_ERRADO,0.5,0.05,44.246,1.246
CERTO_ERRADO,0.5,0.05,47.306,2.306
CERTO_ERRADO,0.5,0.05,40.83,0.83
CERTO_ERRADO,0.5,0.05,47.12,3.12
CERTO_ERRADO,0.5,0.05,48.372,3.372
CERTO_ERRADO,0.5,0.05,46.254,3.254
CERTO_ERRADO,0.5,0.05,20.79,-6.21
CERTO_ERRADO,0.5,0.05,26.246,-0.754
CERTO_ERRADO,0.5,0.05,28.132,2.132
CERTO_ERRADO,0.5,0.05,27.722,1.722
CERTO_ERRADO,0.5,0.05,28.194,1.194
CERTO_ERRADO,0.5,0.05,29.602,2.602
CERTO_ERRADO,0.5,0.05,29.632,2.632
CERTO_ERRADO,0.5,0.05,27.184,1.184
CERTO_ERRADO,0.5,0.05,26.446,-0.554
CERTO_ERRADO,0.5,0.05,27.918,1.918
CERTO_ERRADO,0.5,0.05,28.596,1.596
CERTO_ERRADO,0.5,0.05,29.482,2.482
CERTO_ERRADO,0.5,0.05,29.136,2.136
CERTO_ERRADO,0.5,0.05,28.392,2.392
CERTO_ERRADO,0.5,0.05,28.866,1.866
